墓所,エリア,ﾌﾘｶﾞﾅ,宗派
青葉台の杜,東京,ｱｵﾊﾞﾀﾞｲﾚｲﾜﾉﾓﾘ,日蓮宗
朝霞令和の杜,埼玉,ｱｻｶﾚｲﾜﾉﾓﾘ,樹木墓
浅草令和の杜,神奈川,ｱｻｸｻﾚｲﾜﾉﾓﾘ,樹木墓
麻布称名寺,東京,ｱｻﾞﾌﾞｼｮｳﾐｮｳｼﾞ,浄土真宗
安養寺,神奈川,ｱﾝﾖｳｼﾞ,浄土宗
安立寺,神奈川,ｱﾝﾘｭｳｼﾞ,日蓮宗
池上の杜,東京,ｲｹｶﾞﾐﾉﾓﾘ,ペット墓
池上本門寺,東京,ｲｹｶﾞﾐﾎﾝﾓﾝｼﾞ,日蓮宗
大多喜令和の杜,千葉,ｵｵﾀｷﾚｲﾜﾉﾓﾘ,樹木墓
金沢八景令和の杜,神奈川,ｶﾅｻﾞﾜﾊｯｹｲﾚｲﾜﾉﾓﾘ,樹木墓
宏善寺,東京,ｺｳｾﾞﾝｼﾞ,日蓮宗
弘法寺,神奈川,ｺｳﾎﾞｳｼﾞ,真言宗
祥雲寺,東京,ｼｮｳｳﾝｼﾞ,臨済宗
常照寺,神奈川,ｼﾞｮｳｼｮｳｼﾞ,日蓮宗
昌平寺,神奈川,ｼｮｳﾍｲｼﾞ,浄土真宗
称名寺庭苑墓,東京,ｼｮｳﾐｮｳｼﾞﾃｲｴﾝﾎﾞ,樹木墓
新横浜令和の杜,神奈川,ｼﾝﾖｺﾊﾏﾚｲﾜﾉﾓﾘ,樹木墓
西湘令和の杜,神奈川,ｾｲｼｮｳﾚｲﾜﾉﾓﾘ,樹木墓
専念寺,神奈川,ｾﾝﾈﾝｼﾞ,浄土宗
禅龍寺,神奈川,ｾﾞﾝﾘｭｳｼﾞ,臨済宗
大雄寺,東京,ﾀﾞｲｵｳｼﾞ,日蓮宗
大教寺,東京,ﾀﾞｲｷｮｳｼﾞ,日蓮宗
大光院,神奈川,ﾀﾞｲｺｳｲﾝ,浄土宗
長勝寺,東京,ﾁｮｳｼｮｳｼﾞ,日蓮宗
天嶽院,神奈川,ﾃﾝｶﾞｸｲﾝ,曹洞宗
天龍院,東京,ﾃﾝﾘｭｳｲﾝ,臨済宗
東福寺,埼玉,ﾄｳﾌｸｼﾞ,真言宗
東福寺令和の杜,埼玉,ﾄｳﾌｸｼﾞﾚｲﾜﾉﾓﾘ,真言宗
新座令和の杜,埼玉,ﾆｲｻﾞﾚｲﾜﾉﾓﾘ,樹木墓
広尾の杜,東京,ﾋﾛｵﾉﾓﾘ,樹木墓
ふうがくの杜,神奈川,ﾌｳｶﾞｸﾉﾓﾘ,曹洞宗
法泉寺,東京,ﾎｳｾﾝｼﾞ,日蓮宗
本仙寺,埼玉,ﾎﾝｾﾝｼﾞ,日蓮宗
本納寺,東京,ﾎﾝﾉｳｼﾞ,日蓮宗
町田久遠の杜,東京,ﾏﾁﾀﾞｸｵﾝﾉﾓﾘ,日蓮宗
妙厳寺,東京,ﾐｮｳｺﾞﾝｼﾞ,日蓮宗
谷中天龍の杜,東京,ﾔﾅｶﾃﾝﾘｭｳﾓﾉﾘ,樹木墓
谷中霊園,東京,ﾔﾅｶﾚｲｴﾝ,
横浜令和の杜,神奈川,ﾖｺﾊﾏﾚｲﾜﾉﾓﾘ,樹木墓
龍口寺,神奈川,ﾘｭｳｺｳｼﾞ,日蓮宗
龍口の杜,神奈川,ﾘｭｳｺｳﾉﾓﾘ,樹木葬
蓮光寺,埼玉,ﾚﾝｺｳｼﾞ,真言宗
光明院,神奈川,,
金剛寺,神奈川,,
市ヶ谷坂の上堂内廟,神奈川,,
浄空院,神奈川,,
世田谷自然の杜,神奈川,,
長泉寺,東京,,
長泰寺,東京,,
傳通院,東京,,
東光寺,東京,,
東際寺,神奈川,,
東禅寺,東京,,
平林寺,東京,,
宝幢寺,東京,,
本法寺,東京,,
満願寺,東京,,
妙祐寺,東京,,
森厳寺,神奈川,,
龍雲寺,東京,,
その他,,,
神明神社,埼玉,ｼﾝﾒｲｼﾞﾝｼﾞｬ,
東漸寺,神奈川,ﾄｳｾﾞﾝｼﾞ,臨済宗
 ,, ,